Station,PRN,UT (hrs),UT 2 (hours),UT 3 (hours),Frequency (mHz),Frequency 2 (mHz),Frequency 3 (mHz),Wavelet amplitude,Wavelet amplitude 2,Wavelet amplitude 3,Outside COI,Outside COI 2,Outside COI 3,Detction azimuth,Detection altitude,IPP azimuth,IPP altitude,Propagation distance,Propagation velocity
TTUW,12,21.25,22.939,nan,0.75,0.711,nan,2.962,nan,nan,No,No,NA,5.206,1.488,0.439,1.186,32103.237,-187738.228
TTUW,15,21.941,nan,nan,0.81,nan,nan,4.647,nan,nan,Yes,NA,NA,3.674,1.794,0.439,1.186,22123.107,42544.437
TTUW,17,22.541,nan,nan,0.513,nan,nan,1.166,nan,nan,No,NA,NA,2.547,1.4,0.439,1.186,14240.687,12714.899
TTUW,19,22.73,nan,nan,0.598,nan,nan,1.744,nan,nan,No,NA,NA,2.553,1.111,0.439,1.186,14217.133,10861.064
TTUW,29,23.093,nan,nan,1.701,nan,nan,2.538,nan,nan,No,NA,NA,5.652,1.721,0.439,1.186,35220.601,21064.953
BOAV,2,22.22,nan,nan,0.587,nan,nan,70.435,nan,nan,No,NA,NA,6.241,1.372,0.094,1.665,41360.893,51765.824
BOAV,5,21.43,22.1,nan,0.356,0.5,nan,16.408,16.408,nan,No,No,NA,5.022,0.966,0.094,1.665,33452.615,3716957.266
BOAV,6,21.589,nan,nan,0.848,nan,nan,36.051,nan,nan,No,NA,NA,0.495,1.426,0.094,1.665,3137.505,18675.625
BOAV,9,22.084,nan,nan,0.855,nan,nan,15.475,nan,nan,Yes,NA,NA,0.673,1.886,0.094,1.665,4165.296,6282.498
BOAV,12,21.393,nan,nan,0.506,nan,nan,80.756,nan,nan,No,NA,NA,5.218,1.558,0.094,1.665,34445.912,-1230211.137
BOAV,15,21.997,nan,nan,1.002,nan,nan,0.665,nan,nan,No,NA,NA,3.718,1.617,0.094,1.665,24359.04,42290.001
BOAV,17,20.901,nan,nan,0.358,nan,nan,26.226,nan,nan,No,NA,NA,1.268,0.719,0.094,1.665,10133.325,-19487.163
BOAV,19,20.962,nan,nan,0.357,nan,nan,36.178,nan,nan,No,NA,NA,0.708,0.724,0.094,1.665,7551.716,-16452.54
BOAV,25,22.77,nan,nan,1.431,nan,nan,10.734,nan,nan,No,NA,NA,5.014,1.919,0.094,1.665,33111.357,24545.113
BOAV,28,21.995,nan,nan,0.707,nan,nan,8.833,nan,nan,Yes,NA,NA,2.716,1.845,0.094,1.665,17663.939,30773.413
BOAV,29,23.112,nan,nan,2.395,nan,nan,4.956,nan,nan,limb,NA,NA,5.68,1.689,0.094,1.665,37543.853,22202.16
KOUG,2,21.606,nan,nan,0.42,nan,nan,78.967,nan,nan,No,NA,NA,5.905,1.518,-0.639,1.665,43993.319,237801.726
KOUG,5,22.273,nan,nan,0.291,nan,nan,3.778,nan,nan,No,NA,NA,5.466,1.209,-0.639,1.665,41146.004,48293.432
KOUG,6,21.774,nan,nan,0.357,nan,nan,15.263,nan,nan,No,NA,NA,0.507,1.254,-0.639,1.665,8182.626,23180.245
KOUG,9,22.036,22.25,nan,0.713,1.12,nan,2.024,1.8,nan,limb,limb,NA,0.654,1.706,-0.639,1.665,8694.621,14137.595
KOUG,12,21.748,nan,nan,0.721,nan,nan,26.227,nan,nan,No,NA,NA,5.004,1.65,-0.639,1.665,37926.737,115983.905
KOUG,15,21.898,nan,nan,0.855,nan,nan,1.665,nan,nan,limb,NA,NA,3.767,1.816,-0.639,1.665,29630.111,62117.634
KOUG,29,23.086,nan,nan,1.917,nan,nan,1.699,nan,nan,Yes,NA,NA,5.649,1.947,-0.639,1.665,42304.127,25407.884
KOUR,2,21.573,nan,nan,0.505,nan,nan,27.496,nan,nan,No,NA,NA,5.893,1.522,-0.635,1.658,43884.208,288711.897
KOUR,4,21.681,nan,nan,0.503,nan,nan,0.824,nan,nan,No,NA,NA,0.844,1.115,-0.635,1.658,10589.127,40727.411
KOUR,5,22.306,nan,nan,0.3,nan,nan,3.626,nan,nan,No,NA,NA,5.486,1.207,-0.635,1.658,41250.759,46611.028
KOUR,6,21.765,nan,nan,0.357,nan,nan,15.239,nan,nan,No,NA,NA,0.506,1.254,-0.635,1.658,8135.178,23648.775
KOUR,9,21.236,nan,nan,0.6,nan,nan,1.115,nan,nan,No,NA,NA,0.852,1.327,-0.635,1.658,10238.733,-55344.501
KOUR,12,21.769,nan,nan,0.847,nan,nan,24.78,nan,nan,No,NA,NA,4.995,1.644,-0.635,1.658,37839.347,108733.756
KOUR,15,22.082,nan,nan,0.848,nan,nan,0.682,nan,nan,limb,NA,NA,3.784,1.728,-0.635,1.658,29703.825,44937.708
KOUR,17,19.511,nan,nan,0.426,nan,nan,5.792,nan,nan,Yes,NA,NA,0.155,1.051,-0.635,1.658,6695.914,-3505.714
KOUR,19,19.606,21.25,nan,0.422,0.35,nan,3.76,3.2,nan,limb,Yes,NA,6.156,1.269,-0.635,1.658,45717.13,-25188.502
